"name","reviewCount","rating","published","title","content"
"Finn Johansen",7,25,2023-04-29,"Et telefonisk afslag på en anmeldelse…","Et telefonisk afslag på en anmeldelse synes jeg ikke er OK.Slet ikke når begrundelsen for afslaget ikke for mig er rimeligt begrundet.Fik bla. besked på at forsikringen kun dækker enten over- eller undergulv. Har dog ikke selv haft tid til at undersøge nærmere om det er præciseret i forsikringsbetingelserne"
"Tonny",9,45,2023-04-29,"Høflig og tiltalende","Høflig og tiltalende , Tager sig god tid,  tålmodighed at vise og forklare om produktet “forsikringerne “ . Det betyder at prisen på produktet behøver ikke at være billigere end det man har haft i flere år “ TopDanmark. Men får en bedre forsikring “ Alm Brand forsikring “."
"Jonas Theis Jensen",7,55,2023-04-29,"Anders gav os den rigtige rådgivning, et behageligt besøg, og ro i sindet","Anders, forsikringsrådgiveren, kom forbi om aftenen og vi fik talt forsikringerne igennem. Det var en behagelig oplevelser og vi fandt ud af, at vi slet ikke var ordentlig dækket hos vores nu tidligere forsikringsfirma. Det er vi nu og kan have ro i sindet."
"Anders Jensen",7,35,2023-04-30,"Jeg har IKKE lavet nye forsikringer som…","Jeg har IKKE lavet nye forsikringer som der står i oplæget her, men to forsikringer som er rettet til efter fire års placering som tilknyttet et CVR nummer, men dette blev aflyst på daværende tidspunkt."
"Asger Pawlik",4,15,2023-04-29,"Jeg har haft en meget kedelig oplevelse…","Jeg har haft en meget kedelig oplevelse med skadeinspektør Jesper Dittmann.Jeg fik stjålet for 70000kr af en mand som jeg havde handlet med.Vi havde lagt ting på bordet som han ville købe.Jeg gik en tur i huset for at lede efter min pandelygte.Da jeg kom tilbage var sagerne væk hoveddøren stod åben,og bile var væk.Jeg meldte det til politiet.Senere meldte det til forsikringen for måske at  fålidt erstatning.DIttmann holdt med tyven så må han melde mig for forsiringssvindel.Dittmann kunne ikke refere  hvad jeg fortalte ham.En moro kris som den der blev stjålet med pris 1000kr bliver til 10000kr.Tyven fortalte ham at jeg nærmest var dement."
"Henrik ",1,15,2023-04-29,"Har haft alm brand et par år nu","Har haft alm brand et par år nu. Skiftede ulykkes og bil forsikring tidligere i år for at få det samlet. Ren kaos med det skift. Jeg har måtte ringe ind flere gange og rykke for at det gik i orden. Fik lovning på at det nok skulle blive ordnet og næste gang jeg ringede ind fik jeg besked om at medarbejderen ikke havde gjort en dyt ved det. Nu har jeg efterfølgende prøvet at tilmelde regningerne til betalings service uden held, kontaktede alm brand og forklarede hvordan og hvorledes, de påstår at det er min banks problem, jeg ringer derefter til min bank som forklarer at det er alm brand der ikke har styr på det. Jeg vil nu undersøge muligheden for at skifte til andet selskab. Drøn ærgerligt at et så stort forsikringsselskab ikke har styr på noget så simpelt"
"Charlotte Bering",1,55,2023-04-27,"Vil til hver en tid anbefale alm brand.","Vi har aldrig haft problemer med alm. brand. De er hjælpsomme og forståelige. Det står ret klart for mig, hvad der dækker og ikke dækker, og er jeg i tvivl, så hjælper de mig. Jeg vil til hver en tid anbefale alm. brand til andre."
"Jari Pedersen",7,15,2023-04-26,"Har netop opsagt alle mine…","Har netop opsagt alle mine forsikringer. Skulle ikke have skiftet til dette selskab. Grund... Dårlig kundeservice og behandling.Svar på ALM. Brand. Hjalp? Du tvang mig til at betale mere, tilføjet en hånlig tone. I har ikke sendt mig de breve i påstår at have sendt. Du burde ikke bestride din stilling knægt, den er du ikke moden nok til..."
"Anita H",8,45,2023-04-28,"Der var ingen problemer med at få en ny…","Der var ingen problemer med at få en ny glasplade til mit komfur som var knækket, men der gik dog nogle dage før det blev lavet da det ikke var på lager. Jeg er godt tilfreds."
"Eva Vejlstrup",6,15,2023-04-24,"Ville helst give nul stjerner","Ville helst give nul stjerner Har kun haft problemer med jer siden jeg desværre skiftede til Alm brand forsikring . Jeg har talt med mange forskellige kundeservice medarbejdere - hvor den ene ikke ved hvad den anden laver. Jeg har hver mdr fået at vide at jeg ikke har betalt - men det har jeg ! Mit bedste råd: hold jer laaaaangt væk Jeg har givet op"
"Ole Koldby Kvorning",1,45,2023-04-30,"Træerne vokser ikke ind i himlen","Træerne vokser ikke ind i himlen. Jeg fandt afgørelsen lidt ved siden af, da trafik på en station per definition er til fods."
"Allan Hansen",3,15,2023-04-28,"Afvis, afvis, afvis","Desværre var oplevelsen, at Alm. Brands eneste fokus straks ved anmeldelsen af skaden var afvis, afvis, afvis. Man lyttede ikke engang til beskrivelsen af skaden."
"Liselotte Gundersen",7,25,2023-04-28,"Jeg har en polise der giver mig en 100…","Jeg har en polise der giver mig en 100 % dækning men når skaden sker finder man en årsag der fri tager jer for ansvar alligevel. Hvor god er sådan aftale?????"
"Karen Margrethe Iversen",6,55,2023-04-23,"Alm, Brand forsikringsmøde","Jeg var kaldt til et møde med Michael Stampe hos Sydbank.Det var helt igennem positivt og Michael Stampe så med det samme, hvad jeg havde brug for i mine forsikringer.Jeg har samlet mine forsikringer hos dem og er godt tilfreds med resultatet. håber også samarbejdet vil være godt, hvis jeg skulle få brug for en af forsikringerne.Mvh Karen M Iversen"
